ID,Country,Population,Area (sq km),Density,Economy Wikipedia Link
1,afghanistan,"4,384,411",652860,67,https://en.wikipedia.org/wiki/Economy_of_Afghanistan
2,Albania,"2,771,508","27,400",101,https://en.wikipedia.org/wiki/Economy_of_Albania
3,Algeria,"47,435,312","2,381,740",20,https://en.wikipedia.org/wiki/Economy_of_Algeria
4,Andorra,"82,904",470,176,https://en.wikipedia.org/wiki/Economy_of_Andorra
5,Angola,"39,040,039","1,246,700",31,https://en.wikipedia.org/wiki/Economy_of_Angola
6,Antigua and Barbuda,"94,209",440,214,https://en.wikipedia.org/wiki/Economy_of_Antigua_and_Barbuda
7,Argentina,"45,851,378","2,736,690",17,https://en.wikipedia.org/wiki/Economy_of_Argentina
8,Armenia,"2,952,365","28,470",104,https://en.wikipedia.org/wiki/Economy_of_Armenia
9,Australia,"26,974,026","7,682,300",4,https://en.wikipedia.org/wiki/Economy_of_Australia
10,Austria,"9,113,574","82,409",111,https://en.wikipedia.org/wiki/Economy_of_Austria
11,Azerbaijan,"10,397,713","82,658",126,https://en.wikipedia.org/wiki/Economy_of_Azerbaijan
12,Bahamas,"403,033","10,010",40,https://en.wikipedia.org/wiki/Economy_of_the_Bahamas
13,Bahrain,"1,643,332",760,"2,162",https://en.wikipedia.org/wiki/Economy_of_Bahrain
14,Bangladesh,"175,686,899","130,170","1,350",https://en.wikipedia.org/wiki/Economy_of_Bangladesh
15,Barbados,"282,623",430,657,https://en.wikipedia.org/wiki/Economy_of_Barbados
16,Belarus,"8,997,603","202,910",44,https://en.wikipedia.org/wiki/Economy_of_Belarus
17,Belgium,"11,758,603","30,280",388,https://en.wikipedia.org/wiki/Economy_of_Belgium
18,Belize,"422,924","22,810",19,https://en.wikipedia.org/wiki/Economy_of_Belize
19,Benin,"14,814,460","112,760",131,https://en.wikipedia.org/wiki/Economy_of_Benin
20,Bhutan,"796,682","38,117",21,https://en.wikipedia.org/wiki/Economy_of_Bhutan
21,Bolivia,"12,581,843","1,083,300",12,https://en.wikipedia.org/wiki/Economy_of_Bolivia
22,Bosnia and Herzegovina,"3,140,095","51,000",62,https://en.wikipedia.org/wiki/Economy_of_Bosnia_and_Herzegovina
23,Botswana,"2,562,122","566,730",5,https://en.wikipedia.org/wiki/Economy_of_Botswana
24,Brazil,"212,812,405","8,358,140",25,https://en.wikipedia.org/wiki/Economy_of_Brazil
25,Brunei,"466,330","5,270",88,https://en.wikipedia.org/wiki/Economy_of_Brunei
26,Bulgaria,"6,714,560","108,560",62,https://en.wikipedia.org/wiki/Economy_of_Bulgaria
27,Burkina Faso,"24,074,580","273,600",88,https://en.wikipedia.org/wiki/Economy_of_Burkina_Faso
28,Burundi,"14,390,003","25,680",560,https://en.wikipedia.org/wiki/Economy_of_Burundi
29,Cabo Verde,"527,326","4,030",131,https://en.wikipedia.org/wiki/Economy_of_Cape_Verde
30,Cambodia,"17,847,982","176,520",101,https://en.wikipedia.org/wiki/Economy_of_Cambodia
31,Cameroon,"29,879,337","472,710",63,https://en.wikipedia.org/wiki/Economy_of_Cameroon
32,Canada,"40,126,723","9,093,510",4,https://en.wikipedia.org/wiki/Economy_of_Canada
33,Central African Republic,"5,513,282","622,980",9,https://en.wikipedia.org/wiki/Economy_of_the_Central_African_Republic
34,Chad,"21,003,705","1,259,200",17,https://en.wikipedia.org/wiki/Economy_of_Chad
35,Chile,"19,859,921","743,532",27,https://en.wikipedia.org/wiki/Economy_of_Chile
36,China,"1,416,096,094","9,388,211",151,https://en.wikipedia.org/wiki/Economy_of_China
37,Colombia,"53,425,635","1,109,500",48,https://en.wikipedia.org/wiki/Economy_of_Colombia
38,Comoros,"882,847","1,861",474,https://en.wikipedia.org/wiki/Economy_of_the_Comoros
39,Congo (Congo-Brazzaville),"6,484,437","341,500",19,https://en.wikipedia.org/wiki/Economy_of_the_Democratic_Republic_of_the_Congo
40,Costa Rica,"5,152,950","51,060",101,https://en.wikipedia.org/wiki/Economy_of_Costa_Rica
41,C̫te d'Ivoire,"32,711,547","318,000",103,https://en.wikipedia.org/wiki/Economy_of_Ivory_Coast
42,Croatia,"3,848,160","55,960",69,https://en.wikipedia.org/wiki/Economy_of_Croatia
43,Cuba,"10,937,203","106,440",103,https://en.wikipedia.org/wiki/Economy_of_Cuba
44,Cyprus,"1,370,754","9,240",148,https://en.wikipedia.org/wiki/Economy_of_Cyprus
45,Czechia (Czech Republic),"10,609,239","77,240",137,https://en.wikipedia.org/wiki/Economy_of_the_Czech_Republic
46,Democratic Republic of the Congo,"112,832,473","2,267,050",50,https://en.wikipedia.org/wiki/Economy_of_the_Democratic_Republic_of_the_Congo
47,Denmark,"6,002,507","42,430",141,https://en.wikipedia.org/wiki/Economy_of_Denmark
48,Djibouti,"1,184,076","23,180",51,https://en.wikipedia.org/wiki/Economy_of_Djibouti
49,Dominica,"65,871",750,88,https://en.wikipedia.org/wiki/Economy_of_Dominica
50,Dominican Republic,"11,520,487","48,320",238,https://en.wikipedia.org/wiki/Economy_of_the_Dominican_Republic
51,Ecuador,"18,289,896","248,360",74,https://en.wikipedia.org/wiki/Economy_of_Ecuador
52,Egypt,"118,365,995","995,450",119,https://en.wikipedia.org/wiki/Economy_of_Egypt
53,El Salvador,"6,365,503","20,720",307,https://en.wikipedia.org/wiki/Economy_of_El_Salvador
54,Equatorial Guinea,"1,938,431","28,050",69,https://en.wikipedia.org/wiki/Economy_of_Equatorial_Guinea
55,Eritrea,"3,607,003","101,000",36,https://en.wikipedia.org/wiki/Economy_of_Eritrea
56,Estonia,"1,344,232","42,390",32,https://en.wikipedia.org/wiki/Economy_of_Estonia
57,"Eswatini (fmr. """"Swaziland"""")","1,256,174","17,200",73,https://en.wikipedia.org/wiki/Economy_of_Eswatini
58,Ethiopia,"135,472,051","1,000,000",135,https://en.wikipedia.org/wiki/Economy_of_Ethiopia
59,Fiji,"933,154","18,270",51,https://en.wikipedia.org/wiki/Economy_of_Fiji
60,Finland,"5,623,329","303,890",19,https://en.wikipedia.org/wiki/Economy_of_Finland
61,France,"66,650,804","547,557",122,https://en.wikipedia.org/wiki/Economy_of_France
62,Gabon,"2,593,130","257,670",10,https://en.wikipedia.org/wiki/Economy_of_Gabon
63,Gambia,"2,822,093","10,120",279,https://en.wikipedia.org/wiki/Economy_of_the_Gambia
64,Georgia,"3,806,671","69,490",55,https://en.wikipedia.org/wiki/Economy_of_Georgia
65,Germany,"84,075,075","348,560",241,https://en.wikipedia.org/wiki/Economy_of_Germany
66,Ghana,"35,064,272","227,540",154,https://en.wikipedia.org/wiki/Economy_of_Ghana
67,Greece,"9,938,844","128,900",77,https://en.wikipedia.org/wiki/Economy_of_Greece
68,Grenada,"117,303",340,345,https://en.wikipedia.org/wiki/Economy_of_Grenada
69,Guatemala,"18,687,881","107,160",174,https://en.wikipedia.org/wiki/Economy_of_Guatemala
70,Guinea,"15,099,727","245,720",61,https://en.wikipedia.org/wiki/Economy_of_Guinea
71,Guinea-Bissau,"2,249,515","28,120",80,https://en.wikipedia.org/wiki/Economy_of_Guinea-Bissau
72,Guyana,"835,986","196,850",4,https://en.wikipedia.org/wiki/Economy_of_Guyana
73,Haiti,"11,906,095","27,560",432,https://en.wikipedia.org/wiki/Economy_of_Haiti
74,Holy See,501,0,"1,253",https://en.wikipedia.org/wiki/Economy_of_Vatican_City
75,Honduras,"11,005,850","111,890",98,https://en.wikipedia.org/wiki/Economy_of_Honduras
76,Hungary,"9,632,287","90,530",106,https://en.wikipedia.org/wiki/Economy_of_Hungary
77,Iceland,"398,266","100,250",4,https://en.wikipedia.org/wiki/Economy_of_Iceland
78,India,"1,463,865,525","2,973,190",492,https://en.wikipedia.org/wiki/Economy_of_India
79,Indonesia,"285,721,236","1,811,570",158,https://en.wikipedia.org/wiki/Economy_of_Indonesia
80,Iran,"92,417,681","1,628,550",57,https://en.wikipedia.org/wiki/Economy_of_Iran
81,Iraq,"47,020,774","434,320",108,https://en.wikipedia.org/wiki/Economy_of_Iraq
82,Ireland,"5,308,039","68,890",77,https://en.wikipedia.org/wiki/Economy_of_Ireland
83,Israel,"9,517,181","21,640",440,https://en.wikipedia.org/wiki/Economy_of_Israel
84,Italy,"59,146,260","294,140",201,https://en.wikipedia.org/wiki/Economy_of_Italy
85,Jamaica,"2,837,077","10,830",262,https://en.wikipedia.org/wiki/Economy_of_Jamaica
86,Japan,"123,103,479","364,555",338,https://en.wikipedia.org/wiki/Economy_of_Japan
87,Jordan,"11,520,684","88,780",130,https://en.wikipedia.org/wiki/Economy_of_Jordan
88,Kazakhstan,"20,843,754","2,699,700",8,https://en.wikipedia.org/wiki/Economy_of_Kazakhstan
89,Kenya,"57,532,493","569,140",101,https://en.wikipedia.org/wiki/Economy_of_Kenya
90,Kiribati,"136,488",810,169,https://en.wikipedia.org/wiki/Economy_of_Kiribati
91,Kuwait,"5,026,078","17,820",282,https://en.wikipedia.org/wiki/Economy_of_Kuwait
92,Kyrgyzstan,"7,295,034","191,800",38,https://en.wikipedia.org/wiki/Economy_of_Kyrgyzstan
93,Laos,"7,873,046","230,800",34,https://en.wikipedia.org/wiki/Economy_of_Laos
94,Latvia,"1,853,559","62,200",30,https://en.wikipedia.org/wiki/Economy_of_Latvia
95,Lebanon,"5,849,421","10,230",572,https://en.wikipedia.org/wiki/Economy_of_Lebanon
96,Lesotho,"2,363,325","30,360",78,https://en.wikipedia.org/wiki/Economy_of_Lesotho
97,Liberia,"5,731,206","96,320",60,https://en.wikipedia.org/wiki/Economy_of_Liberia
98,Libya,"7,458,555","1,759,540",4,https://en.wikipedia.org/wiki/Economy_of_Libya
99,Liechtenstein,"40,128",160,251,https://en.wikipedia.org/wiki/Economy_of_Liechtenstein
100,Lithuania,"2,830,144","62,674",45,https://en.wikipedia.org/wiki/Economy_of_Lithuania
101,Luxembourg,"680,453","2,590",263,https://en.wikipedia.org/wiki/Economy_of_Luxembourg
102,Madagascar,"32,740,678","581,795",56,https://en.wikipedia.org/wiki/Economy_of_Madagascar
103,Malawi,"22,216,120","94,280",236,https://en.wikipedia.org/wiki/Economy_of_Malawi
104,Malaysia,"35,977,838","328,550",110,https://en.wikipedia.org/wiki/Economy_of_Malaysia
105,Maldives,"529,676",300,"1,766",https://en.wikipedia.org/wiki/Economy_of_the_Maldives
106,Mali,"25,198,821","1,220,190",21,https://en.wikipedia.org/wiki/Economy_of_Mali
107,Malta,"545,405",320,"1,704",https://en.wikipedia.org/wiki/Economy_of_Malta
108,Marshall Islands,"36,282",180,202,https://en.wikipedia.org/wiki/Economy_of_the_Marshall_Islands
109,Mauritania,"5,315,065","1,030,700",5,https://en.wikipedia.org/wiki/Economy_of_Mauritania
110,Mauritius,"1,268,280","2,030",625,https://en.wikipedia.org/wiki/Economy_of_Mauritius
111,Mexico,"131,946,900","1,943,950",68,https://en.wikipedia.org/wiki/Economy_of_Mexico
112,Micronesia,"113,683",700,162,https://en.wikipedia.org/wiki/Economy_of_the_Federated_States_of_Micronesia
113,Moldova,"2,996,106","32,850",91,https://en.wikipedia.org/wiki/Economy_of_Moldova
114,Monaco,"38,341",1,"25,732",https://en.wikipedia.org/wiki/Economy_of_Monaco
115,Mongolia,"3,517,100","1,553,560",2,https://en.wikipedia.org/wiki/Economy_of_Mongolia
116,Montenegro,"632,729","13,450",47,https://en.wikipedia.org/wiki/Economy_of_Montenegro
117,Morocco,"38,430,770","446,300",86,https://en.wikipedia.org/wiki/Economy_of_Morocco
118,Mozambique,"35,631,653","786,380",45,https://en.wikipedia.org/wiki/Economy_of_Mozambique
119,Myanmar (formerly Burma),"54,850,648","653,290",84,https://en.wikipedia.org/wiki/Economy_of_Myanmar
120,Namibia,"3,092,816","823,290",4,https://en.wikipedia.org/wiki/Economy_of_Namibia
121,Nauru,"12,025",20,601,https://en.wikipedia.org/wiki/Economy_of_Nauru
122,Nepal,"29,618,118","143,350",207,https://en.wikipedia.org/wiki/Economy_of_Nepal
123,Netherlands,"18,346,819","33,720",544,https://en.wikipedia.org/wiki/Economy_of_the_Netherlands
124,New Zealand,"5,251,899","263,310",20,https://en.wikipedia.org/wiki/Economy_of_New_Zealand
125,Nicaragua,"7,007,502","120,340",58,https://en.wikipedia.org/wiki/Economy_of_Nicaragua
126,Niger,"27,917,831","1,266,700",22,https://en.wikipedia.org/wiki/Economy_of_Niger
127,Nigeria,"237,527,782","910,770",261,https://en.wikipedia.org/wiki/Economy_of_Nigeria
128,North Korea,"26,571,036","120,410",221,https://en.wikipedia.org/wiki/Economy_of_North_Korea
129,North Macedonia,"1,813,791","25,220",72,https://en.wikipedia.org/wiki/Economy_of_North_Macedonia
130,Norway,"5,623,071","365,268",15,https://en.wikipedia.org/wiki/Economy_of_Norway
131,Oman,"5,494,691","309,500",18,https://en.wikipedia.org/wiki/Economy_of_Oman
132,Pakistan,"255,219,554","770,880",331,https://en.wikipedia.org/wiki/Economy_of_Pakistan
133,Palau,"17,663",460,38,https://en.wikipedia.org/wiki/Economy_of_Palau
134,Palestine State,"5,589,623","6,020",929,https://en.wikipedia.org/wiki/Economy_of_Palestine
135,Panama,"4,571,189","74,340",61,https://en.wikipedia.org/wiki/Economy_of_Panama
136,Papua New Guinea,"10,762,817","452,860",24,https://en.wikipedia.org/wiki/Economy_of_Papua_New_Guinea
137,Paraguay,"7,013,078","397,300",18,https://en.wikipedia.org/wiki/Economy_of_Paraguay
138,Peru,"34,576,665","1,280,000",27,https://en.wikipedia.org/wiki/Economy_of_Peru
139,Philippines,"116,786,962","298,170",392,https://en.wikipedia.org/wiki/Economy_of_the_Philippines
140,Poland,"38,140,910","306,230",125,https://en.wikipedia.org/wiki/Economy_of_Poland
141,Portugal,"10,411,834","91,590",114,https://en.wikipedia.org/wiki/Economy_of_Portugal
142,Qatar,"3,115,889","11,610",268,https://en.wikipedia.org/wiki/Economy_of_Qatar
143,Romania,"18,908,650","230,170",82,https://en.wikipedia.org/wiki/Economy_of_Romania
144,Russia,"143,997,393","16,376,870",9,https://en.wikipedia.org/wiki/Economy_of_Russia
145,Rwanda,"14,569,341","24,670",591,https://en.wikipedia.org/wiki/Economy_of_Rwanda
146,Saint Kitts and Nevis,"46,922",260,180,https://en.wikipedia.org/wiki/Economy_of_Saint_Kitts_and_Nevis
147,Saint Lucia,"180,149",610,295,https://en.wikipedia.org/wiki/Economy_of_Saint_Lucia
148,Saint Vincent and the Grenadines,"99,924",390,256,https://en.wikipedia.org/wiki/Economy_of_Saint_Vincent_and_the_Grenadines
149,Samoa,"219,306","2,830",77,https://en.wikipedia.org/wiki/Economy_of_Samoa
150,San Marino,"33,572",60,560,https://en.wikipedia.org/wiki/Economy_of_San_Marino
151,Sao Tome and Principe,"240,254",960,250,https://en.wikipedia.org/wiki/Economy_of_S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe
152,Saudi Arabia,"34,566,328","2,149,690",16,https://en.wikipedia.org/wiki/Economy_of_Saudi_Arabia
153,Senegal,"18,931,966","192,530",98,https://en.wikipedia.org/wiki/Economy_of_Senegal
154,Serbia,"6,689,039","87,460",76,https://en.wikipedia.org/wiki/Economy_of_Serbia
155,Seychelles,"132,779",460,289,https://en.wikipedia.org/wiki/Economy_of_Seychelles
156,Sierra Leone,"8,819,794","72,180",122,https://en.wikipedia.org/wiki/Economy_of_Sierra_Leone
157,Singapore,"5,870,750",700,"8,387",https://en.wikipedia.org/wiki/Economy_of_Singapore
158,Slovakia,"5,474,881","48,088",114,https://en.wikipedia.org/wiki/Economy_of_Slovakia
159,Slovenia,"2,117,072","20,140",105,https://en.wikipedia.org/wiki/Economy_of_Slovenia
160,Solomon Islands,"838,645","27,990",30,https://en.wikipedia.org/wiki/Economy_of_Solomon_Islands
161,Somalia,"19,654,739","627,340",31,https://en.wikipedia.org/wiki/Economy_of_Somalia
162,South Africa,"64,747,319","1,213,090",53,https://en.wikipedia.org/wiki/Economy_of_South_Africa
163,South Korea,"51,667,029","97,230",531,https://en.wikipedia.org/wiki/Economy_of_South_Korea
164,South Sudan,"12,188,788","610,952",20,https://en.wikipedia.org/wiki/Economy_of_South_Sudan
165,Spain,"47,889,958","498,800",96,https://en.wikipedia.org/wiki/Economy_of_Spain
166,Sri Lanka,"23,229,470","62,710",370,https://en.wikipedia.org/wiki/Economy_of_Sri_Lanka
167,Sudan,"51,662,147","1,765,048",29,https://en.wikipedia.org/wiki/Economy_of_Sudan
168,Suriname,"639,850","156,000",4,https://en.wikipedia.org/wiki/Economy_of_Suriname
169,Sweden,"10,656,633","410,340",26,https://en.wikipedia.org/wiki/Economy_of_Sweden
170,Switzerland,"8,967,407","39,516",227,https://en.wikipedia.org/wiki/Economy_of_Switzerland
171,Syria,"25,620,427","183,630",140,https://en.wikipedia.org/wiki/Economy_of_Syria
172,Tajikistan,"10,786,734","139,960",77,https://en.wikipedia.org/wiki/Economy_of_Tajikistan
173,Tanzania,"70,545,865","885,800",80,https://en.wikipedia.org/wiki/Economy_of_Tanzania
174,Thailand,"71,619,863","510,890",140,https://en.wikipedia.org/wiki/Economy_of_Thailand
175,Timor-Leste,"1,418,517","14,870",95,https://en.wikipedia.org/wiki/Economy_of_Timor-Leste
176,Togo,"9,721,608","54,390",179,https://en.wikipedia.org/wiki/Economy_of_Togo
177,Tonga,"103,742",720,144,https://en.wikipedia.org/wiki/Economy_of_Tonga
178,Trinidad and Tobago,"1,511,155","5,130",295,https://en.wikipedia.org/wiki/Economy_of_Trinidad_and_Tobago
179,Tunisia,"12,348,573","155,360",79,https://en.wikipedia.org/wiki/Economy_of_Tunisia
180,Turkey,"87,685,426","769,630",114,https://en.wikipedia.org/wiki/Economy_of_Turkey
181,Turkmenistan,"7,618,847","469,930",16,https://en.wikipedia.org/wiki/Economy_of_Turkmenistan
182,Tuvalu,"9,492",30,316,https://en.wikipedia.org/wiki/Economy_of_Tuvalu
183,Uganda,"51,384,894","199,810",257,https://en.wikipedia.org/wiki/Economy_of_Uganda
184,Ukraine,"38,980,376","579,320",67,https://en.wikipedia.org/wiki/Economy_of_Ukraine
185,United Arab Emirates,"11,346,000","83,600",136,https://en.wikipedia.org/wiki/Economy_of_the_United_Arab_Emirates
186,United Kingdom,"69,551,332","241,930",287,https://en.wikipedia.org/wiki/Economy_of_the_United_Kingdom
187,United States of America,"347,275,807","9,147,420",38,https://en.wikipedia.org/wiki/Economy_of_the_United_States
188,Uruguay,"3,384,688","175,020",19,https://en.wikipedia.org/wiki/Economy_of_Uruguay
189,Uzbekistan,"37,053,428","425,400",87,https://en.wikipedia.org/wiki/Economy_of_Uzbekistan
190,Vanuatu,"335,169","12,190",27,https://en.wikipedia.org/wiki/Economy_of_Vanuatu
191,Venezuela,"28,516,896","882,050",32,https://en.wikipedia.org/wiki/Economy_of_Venezuela
192,Vietnam,"101,598,527","310,070",328,https://en.wikipedia.org/wiki/Economy_of_Vietnam
193,Yemen,"41,773,878","527,970",79,https://en.wikipedia.org/wiki/Economy_of_Yemen
194,Zambia,"21,913,874","743,390",29,https://en.wikipedia.org/wiki/Economy_of_Zambia
195,Zimbabwe,"16,950,795","386,850",44,https://en.wikipedia.org/wiki/Economy_of_Zimbabwe
