ID,Country,Population,Area (sq km),Density,Economy Wikipedia Link,markdown_path,json_path,links_csv_path
1,afghanistan,"4,384,411",652860,67,https://en.wikipedia.org/wiki/Economy_of_Afghanistan,markdown/economy_of_afghanistan.md,json/economy_of_afghanistan.json,csv/economy_of_afghanistan_links.csv
2,Albania,"2,771,508","27,400",101,https://en.wikipedia.org/wiki/Economy_of_Albania,markdown/economy_of_albania.md,json/economy_of_albania.json,csv/economy_of_albania_links.csv
3,Algeria,"47,435,312","2,381,740",20,https://en.wikipedia.org/wiki/Economy_of_Algeria,markdown/economy_of_algeria.md,json/economy_of_algeria.json,csv/economy_of_algeria_links.csv
4,Andorra,"82,904",470,176,https://en.wikipedia.org/wiki/Economy_of_Andorra,markdown/economy_of_andorra.md,json/economy_of_andorra.json,csv/economy_of_andorra_links.csv
5,Angola,"39,040,039","1,246,700",31,https://en.wikipedia.org/wiki/Economy_of_Angola,markdown/economy_of_angola.md,json/economy_of_angola.json,csv/economy_of_angola_links.csv
6,Antigua and Barbuda,"94,209",440,214,https://en.wikipedia.org/wiki/Economy_of_Antigua_and_Barbuda,markdown/economy_of_antigua_and_barbuda.md,json/economy_of_antigua_and_barbuda.json,csv/economy_of_antigua_and_barbuda_links.csv
7,Argentina,"45,851,378","2,736,690",17,https://en.wikipedia.org/wiki/Economy_of_Argentina,markdown/economy_of_argentina.md,json/economy_of_argentina.json,csv/economy_of_argentina_links.csv
8,Armenia,"2,952,365","28,470",104,https://en.wikipedia.org/wiki/Economy_of_Armenia,markdown/economy_of_armenia.md,json/economy_of_armenia.json,csv/economy_of_armenia_links.csv
9,Australia,"26,974,026","7,682,300",4,https://en.wikipedia.org/wiki/Economy_of_Australia,markdown/economy_of_australia.md,json/economy_of_australia.json,csv/economy_of_australia_links.csv
10,Austria,"9,113,574","82,409",111,https://en.wikipedia.org/wiki/Economy_of_Austria,markdown/economy_of_austria.md,json/economy_of_austria.json,csv/economy_of_austria_links.csv
11,Azerbaijan,"10,397,713","82,658",126,https://en.wikipedia.org/wiki/Economy_of_Azerbaijan,markdown/economy_of_azerbaijan.md,json/economy_of_azerbaijan.json,csv/economy_of_azerbaijan_links.csv
12,Bahamas,"403,033","10,010",40,https://en.wikipedia.org/wiki/Economy_of_the_Bahamas,markdown/economy_of_the_bahamas.md,json/economy_of_the_bahamas.json,csv/economy_of_the_bahamas_links.csv
13,Bahrain,"1,643,332",760,"2,162",https://en.wikipedia.org/wiki/Economy_of_Bahrain,markdown/economy_of_bahrain.md,json/economy_of_bahrain.json,csv/economy_of_bahrain_links.csv
14,Bangladesh,"175,686,899","130,170","1,350",https://en.wikipedia.org/wiki/Economy_of_Bangladesh,markdown/economy_of_bangladesh.md,json/economy_of_bangladesh.json,csv/economy_of_bangladesh_links.csv
15,Barbados,"282,623",430,657,https://en.wikipedia.org/wiki/Economy_of_Barbados,markdown/economy_of_barbados.md,json/economy_of_barbados.json,csv/economy_of_barbados_links.csv
16,Belarus,"8,997,603","202,910",44,https://en.wikipedia.org/wiki/Economy_of_Belarus,markdown/economy_of_belarus.md,json/economy_of_belarus.json,csv/economy_of_belarus_links.csv
17,Belgium,"11,758,603","30,280",388,https://en.wikipedia.org/wiki/Economy_of_Belgium,markdown/economy_of_belgium.md,json/economy_of_belgium.json,csv/economy_of_belgium_links.csv
18,Belize,"422,924","22,810",19,https://en.wikipedia.org/wiki/Economy_of_Belize,markdown/economy_of_belize.md,json/economy_of_belize.json,csv/economy_of_belize_links.csv
19,Benin,"14,814,460","112,760",131,https://en.wikipedia.org/wiki/Economy_of_Benin,markdown/economy_of_benin.md,json/economy_of_benin.json,csv/economy_of_benin_links.csv
20,Bhutan,"796,682","38,117",21,https://en.wikipedia.org/wiki/Economy_of_Bhutan,markdown/economy_of_bhutan.md,json/economy_of_bhutan.json,csv/economy_of_bhutan_links.csv
21,Bolivia,"12,581,843","1,083,300",12,https://en.wikipedia.org/wiki/Economy_of_Bolivia,markdown/economy_of_bolivia.md,json/economy_of_bolivia.json,csv/economy_of_bolivia_links.csv
22,Bosnia and Herzegovina,"3,140,095","51,000",62,https://en.wikipedia.org/wiki/Economy_of_Bosnia_and_Herzegovina,markdown/economy_of_bosnia_and_herzegovina.md,json/economy_of_bosnia_and_herzegovina.json,csv/economy_of_bosnia_and_herzegovina_links.csv
23,Botswana,"2,562,122","566,730",5,https://en.wikipedia.org/wiki/Economy_of_Botswana,markdown/economy_of_botswana.md,json/economy_of_botswana.json,csv/economy_of_botswana_links.csv
24,Brazil,"212,812,405","8,358,140",25,https://en.wikipedia.org/wiki/Economy_of_Brazil,markdown/economy_of_brazil.md,json/economy_of_brazil.json,csv/economy_of_brazil_links.csv
25,Brunei,"466,330","5,270",88,https://en.wikipedia.org/wiki/Economy_of_Brunei,markdown/economy_of_brunei.md,json/economy_of_brunei.json,csv/economy_of_brunei_links.csv
26,Bulgaria,"6,714,560","108,560",62,https://en.wikipedia.org/wiki/Economy_of_Bulgaria,markdown/economy_of_bulgaria.md,json/economy_of_bulgaria.json,csv/economy_of_bulgaria_links.csv
27,Burkina Faso,"24,074,580","273,600",88,https://en.wikipedia.org/wiki/Economy_of_Burkina_Faso,markdown/economy_of_burkina_faso.md,json/economy_of_burkina_faso.json,csv/economy_of_burkina_faso_links.csv
28,Burundi,"14,390,003","25,680",560,https://en.wikipedia.org/wiki/Economy_of_Burundi,markdown/economy_of_burundi.md,json/economy_of_burundi.json,csv/economy_of_burundi_links.csv
29,Cabo Verde,"527,326","4,030",131,https://en.wikipedia.org/wiki/Economy_of_Cape_Verde,markdown/economy_of_cape_verde.md,json/economy_of_cape_verde.json,csv/economy_of_cape_verde_links.csv
30,Cambodia,"17,847,982","176,520",101,https://en.wikipedia.org/wiki/Economy_of_Cambodia,markdown/economy_of_cambodia.md,json/economy_of_cambodia.json,csv/economy_of_cambodia_links.csv
31,Cameroon,"29,879,337","472,710",63,https://en.wikipedia.org/wiki/Economy_of_Cameroon,markdown/economy_of_cameroon.md,json/economy_of_cameroon.json,csv/economy_of_cameroon_links.csv
32,Canada,"40,126,723","9,093,510",4,https://en.wikipedia.org/wiki/Economy_of_Canada,markdown/economy_of_canada.md,json/economy_of_canada.json,csv/economy_of_canada_links.csv
33,Central African Republic,"5,513,282","622,980",9,https://en.wikipedia.org/wiki/Economy_of_the_Central_African_Republic,markdown/economy_of_the_central_african_republic.md,json/economy_of_the_central_african_republic.json,csv/economy_of_the_central_african_republic_links.csv
34,Chad,"21,003,705","1,259,200",17,https://en.wikipedia.org/wiki/Economy_of_Chad,markdown/economy_of_chad.md,json/economy_of_chad.json,csv/economy_of_chad_links.csv
35,Chile,"19,859,921","743,532",27,https://en.wikipedia.org/wiki/Economy_of_Chile,markdown/economy_of_chile.md,json/economy_of_chile.json,csv/economy_of_chile_links.csv
36,China,"1,416,096,094","9,388,211",151,https://en.wikipedia.org/wiki/Economy_of_China,markdown/economy_of_china.md,json/economy_of_china.json,csv/economy_of_china_links.csv
37,Colombia,"53,425,635","1,109,500",48,https://en.wikipedia.org/wiki/Economy_of_Colombia,markdown/economy_of_colombia.md,json/economy_of_colombia.json,csv/economy_of_colombia_links.csv
38,Comoros,"882,847","1,861",474,https://en.wikipedia.org/wiki/Economy_of_the_Comoros,markdown/economy_of_the_comoros.md,json/economy_of_the_comoros.json,csv/economy_of_the_comoros_links.csv
39,Congo (Congo-Brazzaville),"6,484,437","341,500",19,https://en.wikipedia.org/wiki/Economy_of_the_Democratic_Republic_of_the_Congo,markdown/economy_of_the_democratic_republic_of_the_congo.md,json/economy_of_the_democratic_republic_of_the_congo.json,csv/economy_of_the_democratic_republic_of_the_congo_links.csv
40,Costa Rica,"5,152,950","51,060",101,https://en.wikipedia.org/wiki/Economy_of_Costa_Rica,markdown/economy_of_costa_rica.md,json/economy_of_costa_rica.json,csv/economy_of_costa_rica_links.csv
41,Côte d'Ivoire,"32,711,547","318,000",103,https://en.wikipedia.org/wiki/Economy_of_Ivory_Coast,markdown/economy_of_ivory_coast.md,json/economy_of_ivory_coast.json,csv/economy_of_ivory_coast_links.csv
42,Croatia,"3,848,160","55,960",69,https://en.wikipedia.org/wiki/Economy_of_Croatia,markdown/economy_of_croatia.md,json/economy_of_croatia.json,csv/economy_of_croatia_links.csv
43,Cuba,"10,937,203","106,440",103,https://en.wikipedia.org/wiki/Economy_of_Cuba,markdown/economy_of_cuba.md,json/economy_of_cuba.json,csv/economy_of_cuba_links.csv
44,Cyprus,"1,370,754","9,240",148,https://en.wikipedia.org/wiki/Economy_of_Cyprus,markdown/economy_of_cyprus.md,json/economy_of_cyprus.json,csv/economy_of_cyprus_links.csv
45,Czechia (Czech Republic),"10,609,239","77,240",137,https://en.wikipedia.org/wiki/Economy_of_the_Czech_Republic,markdown/economy_of_the_czech_republic.md,json/economy_of_the_czech_republic.json,csv/economy_of_the_czech_republic_links.csv
46,Democratic Republic of the Congo,"112,832,473","2,267,050",50,https://en.wikipedia.org/wiki/Economy_of_the_Democratic_Republic_of_the_Congo,markdown/economy_of_the_democratic_republic_of_the_congo.md,json/economy_of_the_democratic_republic_of_the_congo.json,csv/economy_of_the_democratic_republic_of_the_congo_links.csv
47,Denmark,"6,002,507","42,430",141,https://en.wikipedia.org/wiki/Economy_of_Denmark,markdown/economy_of_denmark.md,json/economy_of_denmark.json,csv/economy_of_denmark_links.csv
48,Djibouti,"1,184,076","23,180",51,https://en.wikipedia.org/wiki/Economy_of_Djibouti,markdown/economy_of_djibouti.md,json/economy_of_djibouti.json,csv/economy_of_djibouti_links.csv
49,Dominica,"65,871",750,88,https://en.wikipedia.org/wiki/Economy_of_Dominica,markdown/economy_of_dominica.md,json/economy_of_dominica.json,csv/economy_of_dominica_links.csv
50,Dominican Republic,"11,520,487","48,320",238,https://en.wikipedia.org/wiki/Economy_of_the_Dominican_Republic,markdown/economy_of_the_dominican_republic.md,json/economy_of_the_dominican_republic.json,csv/economy_of_the_dominican_republic_links.csv
51,Ecuador,"18,289,896","248,360",74,https://en.wikipedia.org/wiki/Economy_of_Ecuador,markdown/economy_of_ecuador.md,json/economy_of_ecuador.json,csv/economy_of_ecuador_links.csv
52,Egypt,"118,365,995","995,450",119,https://en.wikipedia.org/wiki/Economy_of_Egypt,markdown/economy_of_egypt.md,json/economy_of_egypt.json,csv/economy_of_egypt_links.csv
53,El Salvador,"6,365,503","20,720",307,https://en.wikipedia.org/wiki/Economy_of_El_Salvador,markdown/economy_of_el_salvador.md,json/economy_of_el_salvador.json,csv/economy_of_el_salvador_links.csv
54,Equatorial Guinea,"1,938,431","28,050",69,https://en.wikipedia.org/wiki/Economy_of_Equatorial_Guinea,markdown/economy_of_equatorial_guinea.md,json/economy_of_equatorial_guinea.json,csv/economy_of_equatorial_guinea_links.csv
55,Eritrea,"3,607,003","101,000",36,https://en.wikipedia.org/wiki/Economy_of_Eritrea,markdown/economy_of_eritrea.md,json/economy_of_eritrea.json,csv/economy_of_eritrea_links.csv
56,Estonia,"1,344,232","42,390",32,https://en.wikipedia.org/wiki/Economy_of_Estonia,markdown/economy_of_estonia.md,json/economy_of_estonia.json,csv/economy_of_estonia_links.csv
57,"Eswatini (fmr. """"Swaziland"""")","1,256,174","17,200",73,https://en.wikipedia.org/wiki/Economy_of_Eswatini,markdown/economy_of_eswatini.md,json/economy_of_eswatini.json,csv/economy_of_eswatini_links.csv
58,Ethiopia,"135,472,051","1,000,000",135,https://en.wikipedia.org/wiki/Economy_of_Ethiopia,markdown/economy_of_ethiopia.md,json/economy_of_ethiopia.json,csv/economy_of_ethiopia_links.csv
59,Fiji,"933,154","18,270",51,https://en.wikipedia.org/wiki/Economy_of_Fiji,markdown/economy_of_fiji.md,json/economy_of_fiji.json,csv/economy_of_fiji_links.csv
60,Finland,"5,623,329","303,890",19,https://en.wikipedia.org/wiki/Economy_of_Finland,markdown/economy_of_finland.md,json/economy_of_finland.json,csv/economy_of_finland_links.csv
61,France,"66,650,804","547,557",122,https://en.wikipedia.org/wiki/Economy_of_France,markdown/economy_of_france.md,json/economy_of_france.json,csv/economy_of_france_links.csv
62,Gabon,"2,593,130","257,670",10,https://en.wikipedia.org/wiki/Economy_of_Gabon,markdown/economy_of_gabon.md,json/economy_of_gabon.json,csv/economy_of_gabon_links.csv
63,Gambia,"2,822,093","10,120",279,https://en.wikipedia.org/wiki/Economy_of_the_Gambia,markdown/economy_of_the_gambia.md,json/economy_of_the_gambia.json,csv/economy_of_the_gambia_links.csv
64,Georgia,"3,806,671","69,490",55,https://en.wikipedia.org/wiki/Economy_of_Georgia,N/A,N/A,N/A
65,Germany,"84,075,075","348,560",241,https://en.wikipedia.org/wiki/Economy_of_Germany,markdown/economy_of_germany.md,json/economy_of_germany.json,csv/economy_of_germany_links.csv
66,Ghana,"35,064,272","227,540",154,https://en.wikipedia.org/wiki/Economy_of_Ghana,markdown/economy_of_ghana.md,json/economy_of_ghana.json,csv/economy_of_ghana_links.csv
67,Greece,"9,938,844","128,900",77,https://en.wikipedia.org/wiki/Economy_of_Greece,markdown/economy_of_greece.md,json/economy_of_greece.json,csv/economy_of_greece_links.csv
68,Grenada,"117,303",340,345,https://en.wikipedia.org/wiki/Economy_of_Grenada,markdown/economy_of_grenada.md,json/economy_of_grenada.json,csv/economy_of_grenada_links.csv
69,Guatemala,"18,687,881","107,160",174,https://en.wikipedia.org/wiki/Economy_of_Guatemala,markdown/economy_of_guatemala.md,json/economy_of_guatemala.json,csv/economy_of_guatemala_links.csv
70,Guinea,"15,099,727","245,720",61,https://en.wikipedia.org/wiki/Economy_of_Guinea,markdown/economy_of_guinea.md,json/economy_of_guinea.json,csv/economy_of_guinea_links.csv
71,Guinea-Bissau,"2,249,515","28,120",80,https://en.wikipedia.org/wiki/Economy_of_Guinea-Bissau,markdown/economy_of_guinea-bissau.md,json/economy_of_guinea-bissau.json,csv/economy_of_guinea-bissau_links.csv
72,Guyana,"835,986","196,850",4,https://en.wikipedia.org/wiki/Economy_of_Guyana,markdown/economy_of_guyana.md,json/economy_of_guyana.json,csv/economy_of_guyana_links.csv
73,Haiti,"11,906,095","27,560",432,https://en.wikipedia.org/wiki/Economy_of_Haiti,markdown/economy_of_haiti.md,json/economy_of_haiti.json,csv/economy_of_haiti_links.csv
74,Holy See,501,0,"1,253",https://en.wikipedia.org/wiki/Economy_of_Vatican_City,markdown/economy_of_vatican_city.md,json/economy_of_vatican_city.json,csv/economy_of_vatican_city_links.csv
75,Honduras,"11,005,850","111,890",98,https://en.wikipedia.org/wiki/Economy_of_Honduras,markdown/economy_of_honduras.md,json/economy_of_honduras.json,csv/economy_of_honduras_links.csv
76,Hungary,"9,632,287","90,530",106,https://en.wikipedia.org/wiki/Economy_of_Hungary,markdown/economy_of_hungary.md,json/economy_of_hungary.json,csv/economy_of_hungary_links.csv
77,Iceland,"398,266","100,250",4,https://en.wikipedia.org/wiki/Economy_of_Iceland,markdown/economy_of_iceland.md,json/economy_of_iceland.json,csv/economy_of_iceland_links.csv
78,India,"1,463,865,525","2,973,190",492,https://en.wikipedia.org/wiki/Economy_of_India,markdown/economy_of_india.md,json/economy_of_india.json,csv/economy_of_india_links.csv
79,Indonesia,"285,721,236","1,811,570",158,https://en.wikipedia.org/wiki/Economy_of_Indonesia,markdown/economy_of_indonesia.md,json/economy_of_indonesia.json,csv/economy_of_indonesia_links.csv
80,Iran,"92,417,681","1,628,550",57,https://en.wikipedia.org/wiki/Economy_of_Iran,markdown/economy_of_iran.md,json/economy_of_iran.json,csv/economy_of_iran_links.csv
81,Iraq,"47,020,774","434,320",108,https://en.wikipedia.org/wiki/Economy_of_Iraq,markdown/economy_of_iraq.md,json/economy_of_iraq.json,csv/economy_of_iraq_links.csv
82,Ireland,"5,308,039","68,890",77,https://en.wikipedia.org/wiki/Economy_of_Ireland,N/A,N/A,N/A
83,Israel,"9,517,181","21,640",440,https://en.wikipedia.org/wiki/Economy_of_Israel,markdown/economy_of_israel.md,json/economy_of_israel.json,csv/economy_of_israel_links.csv
84,Italy,"59,146,260","294,140",201,https://en.wikipedia.org/wiki/Economy_of_Italy,markdown/economy_of_italy.md,json/economy_of_italy.json,csv/economy_of_italy_links.csv
85,Jamaica,"2,837,077","10,830",262,https://en.wikipedia.org/wiki/Economy_of_Jamaica,markdown/economy_of_jamaica.md,json/economy_of_jamaica.json,csv/economy_of_jamaica_links.csv
86,Japan,"123,103,479","364,555",338,https://en.wikipedia.org/wiki/Economy_of_Japan,markdown/economy_of_japan.md,json/economy_of_japan.json,csv/economy_of_japan_links.csv
87,Jordan,"11,520,684","88,780",130,https://en.wikipedia.org/wiki/Economy_of_Jordan,markdown/economy_of_jordan.md,json/economy_of_jordan.json,csv/economy_of_jordan_links.csv
88,Kazakhstan,"20,843,754","2,699,700",8,https://en.wikipedia.org/wiki/Economy_of_Kazakhstan,markdown/economy_of_kazakhstan.md,json/economy_of_kazakhstan.json,csv/economy_of_kazakhstan_links.csv
89,Kenya,"57,532,493","569,140",101,https://en.wikipedia.org/wiki/Economy_of_Kenya,markdown/economy_of_kenya.md,json/economy_of_kenya.json,csv/economy_of_kenya_links.csv
90,Kiribati,"136,488",810,169,https://en.wikipedia.org/wiki/Economy_of_Kiribati,markdown/economy_of_kiribati.md,json/economy_of_kiribati.json,csv/economy_of_kiribati_links.csv
91,Kuwait,"5,026,078","17,820",282,https://en.wikipedia.org/wiki/Economy_of_Kuwait,markdown/economy_of_kuwait.md,json/economy_of_kuwait.json,csv/economy_of_kuwait_links.csv
92,Kyrgyzstan,"7,295,034","191,800",38,https://en.wikipedia.org/wiki/Economy_of_Kyrgyzstan,markdown/economy_of_kyrgyzstan.md,json/economy_of_kyrgyzstan.json,csv/economy_of_kyrgyzstan_links.csv
93,Laos,"7,873,046","230,800",34,https://en.wikipedia.org/wiki/Economy_of_Laos,markdown/economy_of_laos.md,json/economy_of_laos.json,csv/economy_of_laos_links.csv
94,Latvia,"1,853,559","62,200",30,https://en.wikipedia.org/wiki/Economy_of_Latvia,markdown/economy_of_latvia.md,json/economy_of_latvia.json,csv/economy_of_latvia_links.csv
95,Lebanon,"5,849,421","10,230",572,https://en.wikipedia.org/wiki/Economy_of_Lebanon,markdown/economy_of_lebanon.md,json/economy_of_lebanon.json,csv/economy_of_lebanon_links.csv
96,Lesotho,"2,363,325","30,360",78,https://en.wikipedia.org/wiki/Economy_of_Lesotho,markdown/economy_of_lesotho.md,json/economy_of_lesotho.json,csv/economy_of_lesotho_links.csv
97,Liberia,"5,731,206","96,320",60,https://en.wikipedia.org/wiki/Economy_of_Liberia,markdown/economy_of_liberia.md,json/economy_of_liberia.json,csv/economy_of_liberia_links.csv
98,Libya,"7,458,555","1,759,540",4,https://en.wikipedia.org/wiki/Economy_of_Libya,markdown/economy_of_libya.md,json/economy_of_libya.json,csv/economy_of_libya_links.csv
